# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/GameLogic/AI/TurretAI.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Map/PolygonTrigger.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Map/SidesList.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Map/TerrainLogic.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Object/Armor.cpp | GameLogic/src/object/armor.rs | FOUND | subsystem=GameLogic
Source | Source/GameLogic/Object/Behavior/AutoHealBehavior.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Object/Behavior/BattleBusSlowDeathBehavior.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Object/Behavior/BehaviorModule.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Object/Behavior/BridgeBehavior.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/Object/Behavior/BridgeScaffoldBehavior.cpp | - | MISSING | subsystem=GameLogic
